epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.659,1.50031,1.92386,1.42636,0.63649,0.47239,0.48915,0.23868,1.45241,1.44567,1.40609,0.00333158,0.00333158,0.00333158
2,277.422,1.51063,1.62995,1.44738,0.66937,0.44582,0.46188,0.22698,1.61938,1.52934,1.57049,0.00653295,0.00653295,0.00653295
3,366.668,1.60876,1.65444,1.5279,0.62407,0.41005,0.42914,0.19163,1.86302,1.83311,1.81784,0.00960232,0.00960232,0.00960232
4,453.556,1.65141,1.69414,1.57124,0.64873,0.43484,0.4532,0.22,1.74409,1.64461,1.69431,0.009406,0.009406,0.009406
5,546.144,1.58749,1.61042,1.5434,0.66143,0.43859,0.46218,0.2352,1.6754,1.56273,1.65679,0.009208,0.009208,0.009208
6,632.047,1.53305,1.54435,1.50573,0.71453,0.42216,0.47034,0.25047,1.64277,1.528,1.62669,0.00901,0.00901,0.00901
7,717.832,1.50152,1.49008,1.47961,0.68458,0.46554,0.49589,0.25985,1.60039,1.45907,1.57819,0.008812,0.008812,0.008812
8,807.003,1.46388,1.44554,1.46307,0.7026,0.46685,0.50156,0.27312,1.57626,1.40128,1.57761,0.008614,0.008614,0.008614
9,896.615,1.43598,1.40606,1.4425,0.72977,0.47502,0.51204,0.27757,1.57574,1.36926,1.57723,0.008416,0.008416,0.008416
10,985.528,1.40922,1.3716,1.42804,0.73541,0.47718,0.52216,0.28995,1.53654,1.32975,1.54014,0.008218,0.008218,0.008218
11,1073.64,1.39613,1.34694,1.41119,0.71334,0.48723,0.52307,0.29746,1.50779,1.30518,1.52328,0.00802,0.00802,0.00802
12,1163,1.36169,1.30705,1.39005,0.73219,0.48494,0.5281,0.30248,1.52314,1.27699,1.52741,0.007822,0.007822,0.007822
13,1252.22,1.35205,1.27886,1.37883,0.74577,0.49211,0.53503,0.31166,1.49873,1.26937,1.48743,0.007624,0.007624,0.007624
14,1340.89,1.32925,1.25028,1.36588,0.73793,0.50347,0.54845,0.31648,1.47209,1.2253,1.47997,0.007426,0.007426,0.007426
15,1430.37,1.32041,1.23559,1.36318,0.75868,0.49662,0.54611,0.32415,1.45574,1.22269,1.46067,0.007228,0.007228,0.007228
16,1519.51,1.30356,1.23074,1.35268,0.76483,0.49944,0.55537,0.32937,1.44652,1.21518,1.46072,0.00703,0.00703,0.00703
17,1609.13,1.29321,1.198,1.33728,0.78053,0.49524,0.55144,0.33075,1.43788,1.20125,1.44451,0.006832,0.006832,0.006832
18,1700.47,1.27981,1.19559,1.33351,0.78609,0.50207,0.55837,0.33585,1.43429,1.16457,1.44452,0.006634,0.006634,0.006634
19,1790.64,1.26393,1.16975,1.3186,0.76837,0.50019,0.5554,0.33626,1.43239,1.1838,1.44278,0.006436,0.006436,0.006436
20,1885.7,1.24742,1.15213,1.3143,0.78984,0.50197,0.55724,0.34103,1.43181,1.16812,1.44025,0.006238,0.006238,0.006238
21,1986.36,1.24756,1.14059,1.30684,0.77671,0.51246,0.56798,0.34839,1.40466,1.15089,1.40356,0.00604,0.00604,0.00604
22,2085.12,1.22913,1.13322,1.30445,0.77698,0.51164,0.56865,0.34869,1.41027,1.15529,1.42618,0.005842,0.005842,0.005842
23,2188.82,1.21968,1.12109,1.29596,0.78919,0.51221,0.57688,0.35486,1.39436,1.13408,1.41588,0.005644,0.005644,0.005644
24,2287.61,1.20474,1.10473,1.28386,0.78498,0.52329,0.57852,0.35773,1.38802,1.12953,1.41114,0.005446,0.005446,0.005446
25,2381.26,1.20019,1.0903,1.28132,0.7832,0.52028,0.57976,0.3629,1.38613,1.13249,1.40699,0.005248,0.005248,0.005248
26,2476.88,1.195,1.07304,1.27991,0.79159,0.52469,0.58266,0.36502,1.38255,1.10335,1.39511,0.00505,0.00505,0.00505
27,2569.7,1.18217,1.066,1.26757,0.80141,0.51831,0.57952,0.36537,1.36626,1.10402,1.39605,0.004852,0.004852,0.004852
28,2663.42,1.16565,1.04807,1.26335,0.78944,0.51831,0.57936,0.36798,1.3697,1.09915,1.38777,0.004654,0.004654,0.004654
29,2751.14,1.16576,1.04557,1.26149,0.79503,0.51859,0.58018,0.37125,1.35919,1.11068,1.38068,0.004456,0.004456,0.004456
30,2844,1.15252,1.03358,1.25372,0.80059,0.52009,0.58262,0.37258,1.35977,1.09813,1.38141,0.004258,0.004258,0.004258
31,2953.79,1.14228,1.01504,1.24189,0.8068,0.51249,0.57393,0.37121,1.35963,1.10276,1.38813,0.00406,0.00406,0.00406
32,3060.65,1.14011,1.02139,1.2471,0.80077,0.52421,0.58166,0.37577,1.35203,1.07439,1.37471,0.003862,0.003862,0.003862
33,3169.32,1.12839,1.00091,1.23562,0.80306,0.52451,0.58548,0.37819,1.35683,1.07926,1.37467,0.003664,0.003664,0.003664
34,3276.79,1.11488,0.97692,1.22401,0.78833,0.52839,0.58096,0.37854,1.34952,1.08584,1.3734,0.003466,0.003466,0.003466
35,3382.76,1.10744,0.98104,1.22358,0.80562,0.5231,0.58535,0.38168,1.34984,1.0797,1.37428,0.003268,0.003268,0.003268
36,3487.07,1.09759,0.96633,1.2161,0.81262,0.52002,0.58593,0.38226,1.34952,1.08859,1.37358,0.00307,0.00307,0.00307
37,3591.8,1.09015,0.95486,1.2089,0.80572,0.52723,0.58459,0.38219,1.35099,1.08314,1.37599,0.002872,0.002872,0.002872
38,3696.8,1.08446,0.94924,1.21191,0.8036,0.52892,0.58586,0.38385,1.34613,1.07351,1.36999,0.002674,0.002674,0.002674
39,3806.42,1.0737,0.93681,1.20186,0.8003,0.53174,0.59056,0.38646,1.34556,1.06771,1.37219,0.002476,0.002476,0.002476
40,3916.95,1.06978,0.9284,1.2018,0.80155,0.53606,0.59185,0.38793,1.34206,1.07063,1.37034,0.002278,0.002278,0.002278
41,4086.36,1.0089,0.84067,1.18872,0.79754,0.53465,0.59106,0.38755,1.33433,1.06621,1.36523,0.00208,0.00208,0.00208
42,4217.41,0.99604,0.8113,1.18337,0.80842,0.53202,0.59182,0.38929,1.32768,1.06389,1.36022,0.001882,0.001882,0.001882
43,4323.61,0.98271,0.79582,1.1667,0.8031,0.53474,0.59444,0.39113,1.32953,1.06314,1.36315,0.001684,0.001684,0.001684
44,4432.54,0.96834,0.78113,1.16389,0.80776,0.53249,0.59353,0.39174,1.33041,1.06582,1.36236,0.001486,0.001486,0.001486
45,4557.56,0.94945,0.75716,1.15165,0.81006,0.52981,0.59225,0.39176,1.33406,1.06947,1.36804,0.001288,0.001288,0.001288
46,4664.43,0.93936,0.75599,1.1453,0.80267,0.53174,0.59102,0.39134,1.33399,1.07802,1.37082,0.00109,0.00109,0.00109
47,4776.23,0.93753,0.74785,1.14163,0.80954,0.52842,0.59111,0.39135,1.3347,1.07329,1.37199,0.000892,0.000892,0.000892
48,4883.78,0.91696,0.73438,1.13326,0.81573,0.52864,0.59082,0.39131,1.33624,1.07369,1.37298,0.000694,0.000694,0.000694
49,4988.03,0.91232,0.71101,1.12523,0.81479,0.52854,0.59093,0.39157,1.33554,1.07705,1.37275,0.000496,0.000496,0.000496
50,5092.28,0.89758,0.70262,1.11886,0.81312,0.52836,0.59029,0.39201,1.33542,1.08009,1.37315,0.000298,0.000298,0.000298
