epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.961,1.55835,1.75888,1.33592,0.64406,0.4185,0.42799,0.21628,1.51026,1.35472,1.27126,0.00332983,0.00332983,0.00332983
2,278.151,1.57433,1.50915,1.34121,0.6423,0.39285,0.41338,0.21236,1.60297,1.46669,1.35266,0.00655322,0.00655322,0.00655322
3,406.646,1.66111,1.56694,1.40502,0.51498,0.29305,0.28706,0.12004,2.02938,1.83945,1.75335,0.00966661,0.00966661,0.00966661
4,542.798,1.71007,1.56301,1.4357,0.62038,0.40207,0.42184,0.20352,1.83153,1.5726,1.53933,0.009505,0.009505,0.009505
5,669.249,1.63815,1.50811,1.40992,0.65153,0.43192,0.45447,0.22512,1.71611,1.4268,1.44997,0.00934,0.00934,0.00934
6,792.517,1.58165,1.4342,1.37857,0.69729,0.42479,0.46497,0.24362,1.69487,1.40045,1.44372,0.009175,0.009175,0.009175
7,927.123,1.55306,1.37925,1.35643,0.71559,0.4385,0.47588,0.25448,1.639,1.34093,1.40739,0.00901,0.00901,0.00901
8,1063.4,1.51376,1.33531,1.34145,0.69989,0.44742,0.49239,0.26384,1.60923,1.32321,1.38023,0.008845,0.008845,0.008845
9,1199.45,1.48553,1.31409,1.33032,0.70071,0.44047,0.4895,0.2605,1.65906,1.3648,1.4103,0.00868,0.00868,0.00868
10,1335.08,1.46426,1.28184,1.31735,0.73319,0.45136,0.49532,0.27435,1.57295,1.2904,1.3763,0.008515,0.008515,0.008515
11,1471.16,1.44582,1.25831,1.30389,0.73221,0.457,0.50322,0.28484,1.56949,1.22089,1.35919,0.00835,0.00835,0.00835
12,1607.08,1.42404,1.22779,1.28813,0.72751,0.44798,0.49466,0.28081,1.56795,1.25009,1.35441,0.008185,0.008185,0.008185
13,1743.18,1.41631,1.23155,1.28736,0.73801,0.46085,0.49967,0.28833,1.53825,1.22427,1.33494,0.00802,0.00802,0.00802
14,1879.46,1.39261,1.20125,1.27735,0.74541,0.46676,0.51104,0.29563,1.51896,1.18795,1.33468,0.007855,0.007855,0.007855
15,2015.48,1.38181,1.18756,1.26835,0.75181,0.46507,0.51181,0.29953,1.53028,1.189,1.32732,0.00769,0.00769,0.00769
16,2151.13,1.36778,1.17368,1.26007,0.76595,0.46329,0.51779,0.30681,1.48949,1.17204,1.30303,0.007525,0.007525,0.007525
17,2286.95,1.34996,1.14466,1.25189,0.76292,0.4662,0.51806,0.30553,1.49672,1.1601,1.31537,0.00736,0.00736,0.00736
18,2422.88,1.34541,1.14121,1.24738,0.76928,0.47056,0.5236,0.31393,1.47252,1.1345,1.30605,0.007195,0.007195,0.007195
19,2558.61,1.32846,1.11139,1.23318,0.76981,0.46892,0.51886,0.3134,1.47148,1.13912,1.297,0.00703,0.00703,0.00703
20,2694.77,1.31625,1.11383,1.23347,0.79147,0.4739,0.52812,0.32228,1.46106,1.1096,1.28854,0.006865,0.006865,0.006865
21,2830.86,1.31503,1.09553,1.22179,0.77997,0.47127,0.52501,0.31934,1.44838,1.13202,1.27811,0.0067,0.0067,0.0067
22,2967.11,1.3047,1.09073,1.22577,0.79822,0.47285,0.52808,0.32098,1.43677,1.1213,1.27511,0.006535,0.006535,0.006535
23,3103.07,1.28708,1.07152,1.21351,0.79039,0.47444,0.52994,0.32626,1.44709,1.10213,1.2834,0.00637,0.00637,0.00637
24,3239.31,1.27668,1.06552,1.21054,0.78499,0.47787,0.53329,0.32967,1.43747,1.10307,1.27852,0.006205,0.006205,0.006205
25,3375.51,1.26903,1.06053,1.20643,0.79174,0.48319,0.53418,0.3289,1.44091,1.10288,1.2747,0.00604,0.00604,0.00604
26,3511.62,1.26571,1.04624,1.20244,0.78618,0.48575,0.54297,0.33461,1.42566,1.07604,1.26617,0.005875,0.005875,0.005875
27,3647.59,1.26361,1.04298,1.19789,0.80418,0.47765,0.53924,0.33486,1.43551,1.07685,1.27443,0.00571,0.00571,0.00571
28,3783.94,1.24619,1.03326,1.19195,0.79654,0.48254,0.54012,0.33423,1.42034,1.07203,1.26845,0.005545,0.005545,0.005545
29,3920.65,1.23949,1.02411,1.19236,0.80556,0.48441,0.54278,0.33835,1.42459,1.05992,1.26204,0.00538,0.00538,0.00538
30,4056.85,1.2305,1.01223,1.18854,0.79882,0.48704,0.54322,0.34117,1.40523,1.05984,1.25339,0.005215,0.005215,0.005215
31,4193.41,1.22222,0.99809,1.17824,0.81584,0.48502,0.54434,0.34288,1.40512,1.05534,1.25292,0.00505,0.00505,0.00505
32,4329.73,1.21231,0.99222,1.17366,0.79854,0.48901,0.54258,0.34274,1.40712,1.06513,1.25242,0.004885,0.004885,0.004885
33,4466.18,1.21091,0.98575,1.17149,0.79591,0.49239,0.54726,0.34589,1.40373,1.04981,1.253,0.00472,0.00472,0.00472
34,4602.57,1.20247,0.9825,1.16873,0.80713,0.48469,0.54746,0.34731,1.40732,1.04318,1.25072,0.004555,0.004555,0.004555
35,4738.66,1.19706,0.97322,1.16944,0.80743,0.48648,0.54703,0.347,1.40328,1.04552,1.25324,0.00439,0.00439,0.00439
36,4874.77,1.18258,0.96082,1.16421,0.81202,0.4907,0.55146,0.35064,1.39826,1.03522,1.24904,0.004225,0.004225,0.004225
37,5011.05,1.17769,0.95913,1.15853,0.81977,0.4907,0.55484,0.35252,1.3954,1.02271,1.24781,0.00406,0.00406,0.00406
38,5147.56,1.16987,0.94996,1.15446,0.8135,0.49624,0.55429,0.35321,1.39801,1.02454,1.24585,0.003895,0.003895,0.003895
